"","sub","rr","pu","rho","model"
"202","9oe8onshjdy2khe","50","low",0.129612694541821,"perc"
"203","9oe8onshjdy2khe","75","low",0.170934308794391,"perc"
"204","9oe8onshjdy2khe","25","high",0.314814814814815,"perc"
"205","9p57f5mpldrqae2","25","low",0.96639231824417,"perc"
"206","9p57f5mpldrqae2","50","high",0.824188385916781,"perc"
"207","9p57f5mpldrqae2","75","high",0.929355281207133,"perc"
"208","9p57f5mpldrqae2","50","low",0.922953818015547,"perc"
"209","9p57f5mpldrqae2","75","low",0.668724279835391,"perc"
"210","9p57f5mpldrqae2","25","high",0.769775948788294,"perc"
"211","a39zpu2zr3xl47k","25","low",0.911522633744856,"perc"
"212","a39zpu2zr3xl47k","50","high",0.823273891175126,"perc"
"213","a39zpu2zr3xl47k","75","high",0.991032871005436,"perc"
"214","a39zpu2zr3xl47k","50","low",0.919754968096176,"perc"
"215","a39zpu2zr3xl47k","75","low",0.839277549154092,"perc"
"216","a39zpu2zr3xl47k","25","high",0.816872427983539,"perc"
"217","ajztaxb5eyxtfch","25","low",0.940329218106996,"perc"
"218","ajztaxb5eyxtfch","50","high",0.80650815424478,"perc"
"219","ajztaxb5eyxtfch","75","high",0.948254839201341,"perc"
"220","ajztaxb5eyxtfch","50","low",0.963648834019204,"perc"
"221","ajztaxb5eyxtfch","75","low",0.986053327964283,"perc"
"222","ajztaxb5eyxtfch","25","high",0.99519890260631,"perc"
"223","as5hvtlqa9ouc2z","25","low",0.689300411522634,"perc"
"224","as5hvtlqa9ouc2z","50","high",0.926611796982167,"perc"
"225","as5hvtlqa9ouc2z","75","high",0.974622770919067,"perc"
"226","as5hvtlqa9ouc2z","50","low",0.869913122999543,"perc"
"227","as5hvtlqa9ouc2z","75","low",0.883173296753544,"perc"
"228","as5hvtlqa9ouc2z","25","high",0.878600823045267,"perc"
"229","au7m9jjmgy8d4gj","25","low",0.0188233492386787,"perc"
"230","au7m9jjmgy8d4gj","50","high",0.090916018899558,"perc"
"231","au7m9jjmgy8d4gj","75","high",0.272748056698674,"perc"
"232","au7m9jjmgy8d4gj","50","low",0.246176903927247,"perc"
"233","au7m9jjmgy8d4gj","75","low",0.0148605395518976,"perc"
"234","au7m9jjmgy8d4gj","25","high",0.219097698521567,"perc"
"235","b3jqszmpuje1kzj","25","low",0.988340192043896,"perc"
"236","b3jqszmpuje1kzj","50","high",0.844307270233196,"perc"
"237","b3jqszmpuje1kzj","75","high",0.74706578705763,"perc"
"238","b3jqszmpuje1kzj","50","low",0.758039932937052,"perc"
"239","b3jqszmpuje1kzj","75","low",0.948559670686294,"perc"
"240","b3jqszmpuje1kzj","25","high",0.975994515612725,"perc"
"241","bdov3ye1qvundbp","25","low",0.601051668952904,"perc"
"242","bdov3ye1qvundbp","50","high",0.294238683127572,"perc"
"243","bdov3ye1qvundbp","75","high",0.418152720621856,"perc"
"244","bdov3ye1qvundbp","50","low",0.882258802011888,"perc"
"245","bdov3ye1qvundbp","75","low",0.249428440786465,"perc"
"246","bdov3ye1qvundbp","25","high",0.430041152263374,"perc"
"247","brsvshywlogvxcq","25","low",0.0555555555555556,"perc"
"248","brsvshywlogvxcq","50","high",0.113168724279835,"perc"
"249","brsvshywlogvxcq","75","high",0.393461362597165,"perc"
"250","brsvshywlogvxcq","50","low",0.0537265660722451,"perc"
"251","brsvshywlogvxcq","75","low",0.153711324493218,"perc"
"252","brsvshywlogvxcq","25","high",0.245313214449017,"perc"
"253","bx1xq7e3jhb986v","25","low",0.783944972254681,"perc"
"254","bx1xq7e3jhb986v","50","high",0.936671239140375,"perc"
"255","bx1xq7e3jhb986v","75","high",0.740816948635878,"perc"
"256","bx1xq7e3jhb986v","50","low",0.808184727937814,"perc"
"257","bx1xq7e3jhb986v","75","low",0.701036427373876,"perc"
"258","bx1xq7e3jhb986v","25","high",0.396204846822262,"perc"
"259","c2se350v0tr4hzv","25","low",0.965935070873342,"perc"
"260","c2se350v0tr4hzv","50","high",0.996113397347965,"perc"
"261","c2se350v0tr4hzv","75","high",0.952674897119342,"perc"
"262","c2se350v0tr4hzv","50","low",0.927982935099749,"perc"
"263","c2se350v0tr4hzv","75","low",0.996570644718793,"perc"
"264","c2se350v0tr4hzv","25","high",0.915637860082305,"perc"
"265","cavjhtxfs1z091j","25","low",0.207818930039972,"perc"
"266","cavjhtxfs1z091j","50","high",0.0674439871970736,"perc"
"267","cavjhtxfs1z091j","75","high",0.338134430727023,"perc"
"268","cavjhtxfs1z091j","50","low",0.055453945028705,"perc"
"269","cavjhtxfs1z091j","75","low",0.324417009602195,"perc"
"270","cavjhtxfs1z091j","25","high",0.159807747029094,"perc"
"271","cl4vc26ycu0woo2","25","low",0.221536351165981,"perc"
"272","cl4vc26ycu0woo2","50","high",0.415409236396891,"perc"
"273","cl4vc26ycu0woo2","75","high",0.257658893461363,"perc"
"274","cl4vc26ycu0woo2","50","low",0.203246456332876,"perc"
"275","cl4vc26ycu0woo2","75","low",0.137707666514251,"perc"
"276","cl4vc26ycu0woo2","25","high",0.147005029721079,"perc"
"277","djb1vpwld9c7hmk","25","low",0.270156988263984,"perc"
"278","djb1vpwld9c7hmk","50","high",0.158436004917792,"perc"
"279","djb1vpwld9c7hmk","75","high",0.199283645785703,"perc"
"280","djb1vpwld9c7hmk","50","low",0.353223593964335,"perc"
"281","djb1vpwld9c7hmk","75","low",0.223670172229843,"perc"
"282","djb1vpwld9c7hmk","25","high",0.364197530864198,"perc"
"283","ds2ot3x1v6q63xg","25","low",0.906035665294925,"perc"
"284","ds2ot3x1v6q63xg","50","high",0.993826533268353,"perc"
"285","ds2ot3x1v6q63xg","75","high",0.911522633744856,"perc"
"286","ds2ot3x1v6q63xg","50","low",0.938042981252858,"perc"
"287","ds2ot3x1v6q63xg","75","low",0.837448559670782,"perc"
"288","ds2ot3x1v6q63xg","25","high",0.79614388050602,"perc"
"289","dtua0nm03dd9yb7","25","low",0.13404968754763,"perc"
"290","dtua0nm03dd9yb7","50","high",0.993369913122999,"perc"
"291","dtua0nm03dd9yb7","75","high",0.489483310470965,"perc"
"292","dtua0nm03dd9yb7","50","low",0.0349794238683128,"perc"
"293","dtua0nm03dd9yb7","75","low",0.100371442925932,"perc"
"294","dtua0nm03dd9yb7","25","high",0.121551592745008,"perc"
"295","duzv7z4jux5olpv","25","low",0.98285321585044,"perc"
"296","duzv7z4jux5olpv","50","high",0.707590306355738,"perc"
"297","duzv7z4jux5olpv","75","high",0.916857186404512,"perc"
"298","duzv7z4jux5olpv","50","low",0.977366255144035,"perc"
"299","duzv7z4jux5olpv","75","low",0.988797439415904,"perc"
"300","duzv7z4jux5olpv","25","high",0.993842213809599,"perc"
"301","dvywvnh6comawyk","25","low",0.366941015089163,"perc"
"302","dvywvnh6comawyk","50","high",0.967764060356653,"perc"
"303","dvywvnh6comawyk","75","high",0.976909007773205,"perc"
"304","dvywvnh6comawyk","50","low",0.662780064014632,"perc"
"305","dvywvnh6comawyk","75","low",0.362825788751715,"perc"
"306","dvywvnh6comawyk","25","high",0.983818523599045,"perc"
"307","fehlcunq37bd57x","25","low",0.245313214449017,"perc"
"308","fehlcunq37bd57x","50","high",0.436442615454961,"perc"
"309","fehlcunq37bd57x","75","high",0.205075445816187,"perc"
"310","fehlcunq37bd57x","50","low",0.173982624599909,"perc"
"311","fehlcunq37bd57x","75","low",0.21010516689529,"perc"
"312","fehlcunq37bd57x","25","high",0.295153177869227,"perc"
"313","fq39wkqs1solhdu","25","low",0.907356602143982,"perc"
"314","fq39wkqs1solhdu","50","high",0.933470504963407,"perc"
"315","fq39wkqs1solhdu","75","high",0.48079561042524,"perc"
"316","fq39wkqs1solhdu","50","low",0.166666039441192,"perc"
"317","fq39wkqs1solhdu","75","low",0.379997967789463,"perc"
"318","fq39wkqs1solhdu","25","high",0.216049382716049,"perc"
"319","fqnkabfbs65dy5r","25","low",0.94444381721897,"perc"
"320","fqnkabfbs65dy5r","50","high",0.869913122999543,"perc"
"321","fqnkabfbs65dy5r","75","high",0.932098765400232,"perc"
"322","fqnkabfbs65dy5r","50","low",0.904663923182442,"perc"
"323","fqnkabfbs65dy5r","75","low",0.890946502057613,"perc"
"324","fqnkabfbs65dy5r","25","high",0.767489711934156,"perc"
"325","fwexbmobod79xhj","25","low",0.954808718183204,"perc"
"326","fwexbmobod79xhj","50","high",0.372885230909922,"perc"
"327","fwexbmobod79xhj","75","high",0.579561042524006,"perc"
"328","fwexbmobod79xhj","50","low",0.617969821673526,"perc"
"329","fwexbmobod79xhj","75","low",0.280673677793019,"perc"
"330","fwexbmobod79xhj","25","high",0.889574762526305,"perc"
"331","g35rvb9r3l07tgx","25","low",0.338896509678403,"perc"
"332","g35rvb9r3l07tgx","50","high",0.0692729766803841,"perc"
"333","g35rvb9r3l07tgx","75","high",0.357338820301783,"perc"
"334","g35rvb9r3l07tgx","50","low",0.179012345679012,"perc"
